student_id,age,gender,sleep_hours,screen_time_hours,stress_level,study_hours,physical_activity,caffeine_intake,academic_pressure
S442,19,Male,4.6,8.9,High,6.4,Yes,2,Low
S443,19,Female,7.1,2.8,Low,6.1,No,0,Medium
S444,19,Other,4.9,9.0,High,5.0,No,1,Low
S445,23,Male,5.5,9.3,High,3.5,No,2,Low
S446,25,Male,4.7,9.9,High,7.5,No,1,Low
S447,19,Other,5.7,2.4,Medium,7.0,Yes,1,Low
S448,22,Other,8.8,3.2,Low,4.4,No,1,Low
S449,24,Other,7.5,7.7,Medium,2.3,Yes,4,Low
S450,20,Male,8.1,9.9,Medium,7.1,No,3,Low
S451,23,Other,7.8,10.9,Medium,6.6,No,2,High
S452,22,Other,9.0,2.7,Low,2.3,No,3,Medium
S453,24,Male,6.1,5.9,Medium,2.7,No,0,Medium
S454,21,Other,4.2,5.3,Medium,3.9,No,0,Medium
S455,22,Female,4.3,5.7,Medium,2.7,No,3,High
S456,25,Male,8.6,5.4,Medium,6.1,Yes,0,Medium
S457,21,Male,6.3,11.9,Medium,6.9,Yes,1,Low
S458,19,Male,6.9,10.4,Medium,7.9,No,2,High
S459,23,Male,8.9,6.0,Medium,7.7,Yes,2,High
S460,20,Female,8.8,7.4,Medium,5.6,Yes,0,Low
S461,21,Male,4.7,5.2,Medium,7.6,No,0,High
S462,19,Male,4.6,2.3,Medium,2.0,No,2,High
S463,20,Male,6.0,9.1,Medium,7.9,No,0,Medium
S464,18,Female,7.9,9.4,Medium,3.9,Yes,0,High
S465,23,Male,8.0,2.6,Low,3.1,No,0,High
S466,25,Other,4.8,10.4,High,4.6,No,3,Low
S467,22,Female,5.0,8.9,High,4.6,Yes,1,Medium
S468,24,Male,4.2,5.9,Medium,2.8,Yes,0,Low
S469,20,Female,6.0,3.3,Medium,5.3,Yes,2,High
S470,18,Male,5.4,10.6,High,5.9,No,0,Medium
S471,23,Female,5.7,2.0,Medium,6.5,Yes,2,High
S472,18,Male,4.4,9.9,High,4.3,No,2,Low
S473,19,Female,8.0,8.5,Medium,6.8,No,3,Low
S474,22,Female,6.1,8.4,Medium,5.4,No,4,High
S475,21,Male,7.8,7.9,Medium,2.6,Yes,1,Low
S476,21,Male,4.7,7.1,High,6.6,No,1,High
S477,24,Female,5.3,6.7,Medium,6.5,No,0,Medium
S478,24,Female,6.2,11.3,Medium,6.5,Yes,2,Medium
S479,24,Female,8.3,8.3,Medium,3.9,Yes,2,Medium
S480,18,Other,7.6,2.2,Low,6.7,No,4,High
S481,20,Male,7.8,6.3,Medium,7.9,No,0,Medium
S482,25,Male,7.7,7.6,Medium,3.5,Yes,2,High
S483,22,Other,6.2,7.5,Medium,5.8,Yes,3,Medium
S484,23,Male,7.3,5.0,Medium,6.9,No,3,High
S485,23,Male,7.9,5.0,Medium,3.8,Yes,4,Medium
S486,18,Female,5.2,4.6,Medium,5.8,No,1,Low
S487,24,Female,4.9,4.6,Medium,2.6,Yes,2,Low
S488,20,Other,7.2,5.8,Medium,6.9,No,4,High
S489,22,Other,5.4,8.8,High,6.4,No,2,Low
S490,22,Male,7.1,5.8,Medium,5.6,Yes,3,Low
S491,22,Other,7.9,5.8,Medium,6.3,No,0,High
S492,22,Other,5.9,4.7,Medium,3.1,No,2,Low
S493,25,Other,7.6,10.0,Medium,3.3,No,4,Medium
S494,23,Male,5.9,10.9,High,3.3,Yes,0,Low
S495,18,Female,7.3,5.3,Medium,3.3,Yes,0,Low
S496,20,Female,6.1,4.0,Medium,7.7,No,3,High
S497,19,Female,7.9,4.0,Low,6.1,No,3,Medium
S498,25,Other,4.7,2.3,Medium,4.3,Yes,3,High
S499,18,Other,6.1,8.2,Medium,4.6,Yes,0,Low
S500,21,Female,5.3,11.2,High,4.3,Yes,4,Low
